"","Name","m_h_ratio","pvalue","p_adj_BH"
"1","Cholesterol sulfate",0.753492546141819,0.00451189363992752,0.0864149178067827
"2","Perfluorooctanesulfonic acid",0.758840951496277,0.0064747572539563,0.0864149178067827
"3","Indoxyl sulfate",1.019498574272,0.827845257012177,0.907865081199807
"4","equol sulfate",1.01984944523072,0.756526944356561,0.867484229528857
"5","Guaiacol sulfate",1.01199680537414,0.890290689846269,0.941372942542367
"6","Pyrocatechol sulfate",0.898051524676637,0.163741616569524,0.454250936289647
"7","PE(38:4)",1.39880239722878,0.000195032576830872,0.010063680964473
"8","Phenol sulphate",0.869871421034551,0.116263810476124,0.410904974011508
"9","Cresol sulfate",1.03642951498073,0.6866014907383,0.842398612881823
"10","PE(36:2)",1.34315349739018,0.00257719148225734,0.0864149178067827
"11","PE(36:4)",1.3521390552698,8.01921513661727e-05,0.00517239376311814
"12","PE(36:1)",1.11137675091345,0.273975571580716,0.529735497467674
"13","Trihydroxycoprostanoic acid",0.812202261133296,0.177218679626045,0.479532694560228
"14","PS(22:6/22:4)",0.831582635909789,0.119839235791343,0.41224697112222
"15","PG(18:2/22:6)",1.23840354717015,0.0612488226980384,0.316043925121878
"16","PG(18:1/22:6)",1.41039344978459,3.62502835857319e-05,0.00467628658255942
"17","PS(40:6)",1.20266695872366,0.0745840992213999,0.332045392904267
"18","PG(20:4/18:1)",1.1592121835128,0.087964349020334,0.342060172812187
"19","3-[2-(2H-1-3-Benzodioxol-5-yl)ethyl]-5-oxo-2-5-dihydro-1-2-3-oxadiazol-3-ium",0.866425778079831,0.0901553943846075,0.342060172812187
"20","PG(18:1/18:2)",0.961871053557504,0.672532828965076,0.83822932305792
"21","PE(38:6)",1.36397451219285,9.173083695388e-06,0.00236665559341011
"22","Hydroxytyrosol 4'-sulfate",1.05028431855891,0.508348205640297,0.720625478325257
"23","4-(Decyloxy)benzene-1-sulfonic acid",0.976632739348025,0.773199147817867,0.878790220867884
"24","PG(18:2/18:2)",0.94892315723842,0.552815125118231,0.754636520002664
"25","PG(18:2/18:0)",0.89748378326,0.293794695396354,0.529735497467674
"26","I(-)",1.11006348741924,0.222737307211776,0.504089695268756
"27","Tyrosol 4-sulfate",1.04974737282107,0.498244747924603,0.71446325983895
"28","palmitoleic acid",1.0718908017939,0.387787767408024,0.617587925872038
"29","dihydroxyoctadecanoate",0.87249036238222,0.421693425063552,0.639092233961967
"30","C26:4",0.973688520191689,0.702797885192536,0.847298384951749
"31","Octadecanedioic acid",0.87249036238222,0.421693425063552,0.639092233961967
"32","PG(18:2(9Z,12Z)/18:0)",0.89748378326,0.293794695396354,0.529735497467674
"33","Stearic acid",0.970639851300278,0.679969717170915,0.839388454689455
"34","C24:2",1.18955412028736,0.0667182360712712,0.324553652552018
"35","C25:1",0.760471179757504,0.240100332714014,0.51997275626707
"36","C26:5",0.923273139823785,0.319714785288723,0.557340639219531
"37","C24:3",1.05112010418471,0.499508609379842,0.71446325983895
"38","C24:1",1.01037686309678,0.927953546293236,0.95764805977462
"39","C26:1",0.872963896802932,0.235683773751305,0.519712936990058
"40","Linoleic acid",1.33931031964841,0.00094085244825828,0.040456655275106
"41","Arachidic acid",0.981143719887598,0.837806272494643,0.912042271323282
"42","Heneicosanoic acid",0.774274774967039,0.205019158357085,0.501618601644208
"43","C24:4",1.12444826273205,0.144734179411237,0.43420253823371
"44","Myristic acid",0.9145535134555,0.261053749425289,0.529735497467674
"45","hydroxyicosanoic acid",0.765109931710648,0.0830520309714218,0.334803499853544
"46","C22:6",0.846754421925431,0.0468912661879485,0.274953333556607
"47","MG(19:0)",0.778902277932872,0.246464769971686,0.523706305777095
"48","C23:1",0.858518782214955,0.268957460049045,0.529735497467674
"49","C21:2",0.885436085656941,0.312292532913291,0.548105261847817
"50","C22:1",0.932859796096843,0.423584387625955,0.639092233961967
"51","C24:6",0.998086416582489,0.981842899779366,0.984151428532059
"52","PG(16:0/18:2)",1.06385447371295,0.572289810890103,0.76108644953426
"53","All-trans-retinoic acid",0.90143348147738,0.306681595830715,0.541944189892633
"54","C21:3",1.01755979941306,0.81471190328542,0.902127343552096
"55","C21:1",0.878919274286772,0.492501586070671,0.71446325983895
"56","C22:3",0.912956111510844,0.267177931159666,0.529735497467674
"57","C22:2",1.05017241185513,0.549357910428757,0.753906068567124
"58","C24:5",1.0761974296372,0.383148408600727,0.617587925872038
"59","PG(18:1/16:0)",1.22534127371643,0.0314997214249146,0.198217759210438
"60","C22:4",1.10624846112026,0.254445192221177,0.529410158008579
"61","PG(18:0/18:2)",0.89748378326,0.293794695396354,0.529735497467674
"62","C19:1",1.04505366402659,0.633735829587742,0.805437655338115
"63","Nonadecanoic acid",0.692127475755654,0.0307148379325932,0.198110704665226
"64","C20:4",0.76825369427724,0.0229732818917366,0.198110704665226
"65","C20:1",0.961613796091311,0.614148682265185,0.796232964946823
"66","C22:5",0.912163631224711,0.241367191674422,0.51997275626707
"67","12-Hydroxystearic acid",0.897494298514242,0.456418356878587,0.678362051653713
"68","C19:3",0.937453164941605,0.325777339018392,0.564097674273456
"69","C20:3",0.823729352075642,0.0245188523326498,0.198110704665226
"70","C20:2",1.02563661556337,0.741939736308022,0.866896970373698
"71","C21:5",0.88189604554905,0.153536431270069,0.450140900769066
"72","C19:2",0.96240095250668,0.600386806516003,0.786293381122481
"73","C20:5",0.768201696096213,0.00510146380291018,0.0864149178067827
"74","Ketoleucine",1.08379223036009,0.403739569900419,0.627498849604266
"75","C18:1",0.991038211717366,0.889320453913419,0.941372942542367
"76","2-keto-isovalerate",1.14526550143519,0.206876977520539,0.501618601644208
"77","4-Pyridoxic acid",1.04911020069431,0.56167822700682,0.757768154555531
"78","C17:1",1.11656644331646,0.180289423923807,0.479532694560228
"79","Heptadecanoic acid",0.89214195016538,0.360133350981921,0.595605157393178
"80","2-Oxophytanate",0.701232432340094,0.125047860688697,0.416579481616422
"81","Palmitic acid",1.05172721615154,0.471212851131444,0.694702374810929
