"","peak_id","m_h_ratio","pvalue","p_adj_BH"
"1",2,1.0434912208972,0.599280124443273,0.831031257438311
"2",3,1.03825134056149,0.618332074748881,0.844787555295048
"3",5,1.09268287729384,0.14289720985238,0.503639149000667
"4",6,0.927855676993578,0.405355677772442,0.72677797570078
"5",7,0.963092563779335,0.655543859801472,0.866831043326506
"6",13,0.952545760902519,0.670871993947041,0.872412111845538
"7",21,0.966169909220178,0.63640938266074,0.855374270400237
"8",24,1.05994957024082,0.547294897497077,0.8073737551519
"9",25,1.12967481720387,0.141096872284615,0.501173956564823
"10",27,1.07319890571432,0.467086001797871,0.767652413505775
"11",28,1.03305297058943,0.738597265060153,0.900416387620468
"12",29,0.93893874050226,0.390666913071562,0.716860986223111
"13",31,0.961537631175292,0.69221974715777,0.881817562650474
"14",32,1.16593775247782,0.157927838420771,0.518094971036628
"15",33,0.711600794616637,0.00180901059100004,0.0765043445061468
"16",34,1.20756910813682,0.0592224004890721,0.37360619999124
"17",36,0.686124839910642,0.000364619358308802,0.0380622096812355
"18",37,0.701734557799348,0.000177333482737012,0.0196005655331086
"19",39,1.04872807499792,0.627618670277293,0.850903683551661
"20",40,0.830089977140849,0.0544519510555799,0.36026484518815
"21",41,0.709472965243758,0.00147023673508623,0.0749300370287044
"22",42,0.726727943634379,0.0026966391374419,0.0888944726184795
"23",45,0.965799391105285,0.67105607866468,0.872412111845538
"24",46,1.05176285178946,0.597791521348574,0.829579223496286
"25",47,0.841415597602199,0.129048350413432,0.491345447962403
"26",48,0.686151411161282,0.000135678887544885,0.0170534347686437
"27",50,0.994073096906082,0.942051704517108,0.976345919904934
"28",52,1.11882727539152,0.202614814178211,0.558846391980859
"29",53,0.817652105608219,0.0568996480280023,0.37069752507263
"30",54,0.954313312214534,0.551082274588236,0.808835124696696
"31",55,1.13850303591481,0.150121790182538,0.507848644372315
"32",56,0.887628221403506,0.197683574405449,0.553572930414066
"33",59,1.12178769041786,0.265109372330128,0.619801060637145
"34",60,0.906578166813332,0.296343624749587,0.644848520285126
"35",62,1.0868569248639,0.338726104258715,0.67666293346602
"36",63,1.15443798237758,0.111141072741703,0.464491080000414
"37",65,1.0452024687486,0.627649018308996,0.850903683551661
"38",66,0.678187227443239,1.45150967740211e-05,0.00413817950098763
"39",67,1.05908775717892,0.518692041335051,0.794313240153676
"40",68,0.699236326808972,2.9753520252884e-05,0.00621187383946322
"41",69,1.04637442409881,0.617191054033574,0.844787555295048
"42",70,0.981310820506208,0.789949803910891,0.925328364778151
"43",72,1.05650737038398,0.53457957246997,0.804184879712763
"44",74,0.982463427324914,0.803787343357256,0.930570806018659
"45",81,1.02375872438528,0.843865116010778,0.943545691822914
"46",83,1.0155444191854,0.855337587576486,0.947629320198242
"47",87,1.18224730298786,0.0915534837223411,0.448985900737659
"48",91,1.01032071883398,0.910720117992037,0.967059316823141
"49",92,0.945206111420059,0.505833306571267,0.786805283979645
"50",96,0.923382877755475,0.409667355521798,0.72948947525202
"51",98,1.24167976729379,0.00974525868883252,0.177780010449673
"52",99,1.13752911804201,0.100083364371839,0.460155793652883
"53",102,1.1251063520073,0.0907279972501564,0.448626070613273
"54",103,0.903833936437784,0.231001146830654,0.590545788972515
"55",108,1.00141108798398,0.979594854981033,0.991561010492404
