"","peak_id","f_h_ratio","pvalue","p_adj_BH"
"1",2,1.04120948624735,0.590988694410546,0.896727927192228
"2",3,0.841704702771314,0.153331804171916,0.863187115782878
"3",5,0.896675544271486,0.283065915199174,0.882487742359328
"4",6,0.924362511850858,0.302300388362757,0.882487742359328
"5",7,0.920054245036703,0.29220144214398,0.882487742359328
"6",13,1.06982735475693,0.349997094465138,0.882487742359328
"7",21,0.940860501278086,0.385138239803013,0.882487742359328
"8",24,1.01849234123196,0.819663334386507,0.960187501107492
"9",25,1.32287002638242,0.0609802608671464,0.722772997595578
"10",27,0.990374876973934,0.891238968824559,0.985472013887305
"11",28,1.03773847734329,0.646034558672299,0.912803654841101
"12",29,1.11092058617607,0.141653703484729,0.863187115782878
"13",31,1.00831198030439,0.894339662820518,0.985472013887305
"14",32,0.866896935319126,0.248656162548489,0.882487742359328
"15",33,0.967791365344062,0.723317185705848,0.92927791679834
"16",34,1.0431538788562,0.589583461181562,0.896727927192228
"17",36,0.982679869199039,0.849638143921937,0.967216342730331
"18",37,1.00808325023661,0.932419220853683,0.990509313951452
"19",39,1.01087589591436,0.89233354009137,0.985472013887305
"20",40,0.991281519377351,0.936511058811334,0.990509313951452
"21",41,0.967037609682464,0.724121076365935,0.92927791679834
"22",42,0.981272802327732,0.83771283255883,0.960187501107492
"23",45,1.05733683847448,0.533943962816992,0.89417296087885
"24",46,1.00982600369539,0.902494681748609,0.989374274799088
"25",47,1.00147410038635,0.982129466122436,0.994344621237225
"26",48,0.987275266680941,0.904970390993064,0.9899335482046
"27",50,0.81626420072029,0.309678967092968,0.882487742359328
"28",52,1.13185884392011,0.141114177128802,0.863187115782878
"29",53,1.04184285620366,0.682773086766118,0.920938176751884
"30",54,1.0700572686745,0.444063335915385,0.882487742359328
"31",55,1.28783922628859,0.114360554379611,0.837857369479801
"32",56,1.05652875027579,0.602666252275347,0.903846179790178
"33",59,1.32196840085024,0.0542387815035982,0.716061818288615
"34",60,1.00126715527791,0.984819233700093,0.994344621237225
"35",62,1.03484633790236,0.750036193757439,0.942351378429095
"36",63,1.26124194677934,0.133227880673415,0.863187115782878
"37",65,1.02438091016577,0.762643090953021,0.942714091811601
"38",66,0.807906931515753,0.0285085361399267,0.641923446950196
"39",67,1.07661535892822,0.478113129618131,0.888655968132355
"40",68,0.814881364380983,0.0288184904300877,0.641923446950196
"41",69,1.07603172393429,0.499470962606893,0.893815179750811
"42",70,1.11231834616765,0.262010893226443,0.882487742359328
"43",72,1.07867947290613,0.458435449004609,0.883487393517601
"44",74,1.10214897286893,0.313033370885651,0.882487742359328
"45",81,1.62797790991916,0.00803824883294333,0.473053943257778
"46",83,0.958478189201234,0.63255794612274,0.912803654841101
"47",87,0.922885488621679,0.240538620476127,0.882487742359328
"48",91,1.05437289277498,0.824624778246778,0.960187501107492
"49",92,1.24311281704699,0.142160752206179,0.863187115782878
"50",96,1.02589328508035,0.7853071167712,0.951947901600712
"51",98,1.09335359235004,0.197024271589126,0.869361965186374
"52",99,1.07881532787808,0.304609994113438,0.882487742359328
"53",102,1.0350926750148,0.682749857154724,0.920938176751884
"54",103,0.9132258457585,0.393104765754739,0.882487742359328
"55",108,0.919198910853346,0.434951939142846,0.882487742359328
"56",109,0.973679784135477,0.705872522969182,0.92439657771459
"57",110,1.08416194448428,0.267486078438183,0.882487742359328
"58",114,0.92220520129693,0.312123497190127,0.882487742359328
"59",116,0.939670582834196,0.432672899625646,0.882487742359328
"60",118,1.1358083630564,0.200875101573367,0.869361965186374
"61",119,1.04022694412358,0.610420863306937,0.903846179790178
"62",121,0.931322981084791,0.372908736761594,0.882487742359328
"63",122,0.926488807879703,0.341152574794614,0.882487742359328
"64",123,1.12431696545505,0.234732778644163,0.882487742359328
"65",124,1.13060852076715,0.208586221802605,0.872294512329286
"66",125,0.933461652045585,0.385332406167274,0.882487742359328
"67",126,0.84117866769454,0.0714944183466824,0.742517898174541
"68",127,1.01415947381483,0.801852399564817,0.959020979290869
"69",130,0.86369931696673,0.504808870549922,0.89417296087885
"70",135,0.907096121108732,0.23172705919047,0.882487742359328
"71",137,0.968430198741955,0.733338505040639,0.933565752690624
"72",138,1.0731994591988,0.397459683804369,0.882487742359328
"73",139,1.18174069256956,0.165293191279158,0.863187115782878
"74",142,1.15654089753145,0.272331673611896,0.882487742359328
"75",143,1.013230076192,0.810155933163631,0.960187501107492
"76",144,0.918638292874297,0.227827859633894,0.882487742359328
"77",145,1.11465254025091,0.267522692029077,0.882487742359328
"78",146,1.10971759553267,0.285274035793104,0.882487742359328
"79",147,1.09338882302515,0.354493533066942,0.882487742359328
"80",148,1.02372048009365,0.66712510378617,0.918863216069615
"81",150,1.01334173215091,0.806941069214998,0.960187501107492
"82",151,1.16468818389131,0.175040970006261,0.86325979696001
"83",153,1.01571031221425,0.775872560957109,0.947896321221331
"84",154,1.02626749998882,0.647407451365525,0.913272223059927
"85",156,1.0149462366934,0.786220391681273,0.951947901600712
"86",160,1.07481090268622,0.441644786530457,0.882487742359328
"87",161,0.922440366042101,0.315213290814022,0.882487742359328
"88",162,1.02664920996426,0.643724163673334,0.912803654841101
"89",163,1.1576216488399,0.124407773328826,0.837857369479801
"90",164,1.15101208009484,0.133930471029722,0.863187115782878
"91",170,1.34661220954487,0.259066103525556,0.882487742359328
"92",173,1.10533374940392,0.28186846976164,0.882487742359328
"93",178,1.11961357784698,0.191054062772831,0.869361965186374
"94",180,0.942371993892218,0.385201385419161,0.882487742359328
"95",183,1.08530761419211,0.374176679770906,0.882487742359328
"96",185,1.55192802718234,0.0302120013437275,0.641923446950196
"97",186,1.09569742377341,0.317542519897062,0.882487742359328
"98",190,0.93125075689507,0.312771649314986,0.882487742359328
"99",191,0.948647747848822,0.422861215523695,0.882487742359328
"100",192,0.91025047787658,0.347591820422722,0.882487742359328
"101",194,0.831791718814979,0.113878540450015,0.837857369479801
"102",197,0.929537562947322,0.301841420879195,0.882487742359328
"103",200,1.06235814912186,0.525124074156874,0.89417296087885
"104",201,0.939409337136103,0.361970303607388,0.882487742359328
"105",202,0.962273535778214,0.551460157406669,0.89417296087885
"106",203,0.941205712866724,0.367967476176535,0.882487742359328
"107",204,0.945697745326883,0.399792468336652,0.882487742359328
"108",205,0.948073948606493,0.434266940312651,0.882487742359328
"109",208,0.946263954607186,0.401443990093203,0.882487742359328
"110",209,0.942627959748591,0.377124878699711,0.882487742359328
"111",212,0.944867859026721,0.396455642666717,0.882487742359328
"112",213,0.951721235989324,0.454269784250233,0.882487742359328
"113",219,1.0329667473969,0.728721497232211,0.931474621292058
"114",220,0.963481943543599,0.683445757654954,0.920938176751884
"115",222,0.983348151664823,0.7991626604952,0.957670050427603
"116",229,0.999937340745085,0.99945092240368,0.99945092240368
"117",234,1.25555167013089,0.441929450168968,0.882487742359328
"118",237,1.15482214839853,0.434764950695378,0.882487742359328
"119",243,1.2292685921094,0.299905678343265,0.882487742359328
"120",246,0.853724590894826,0.119207226788534,0.837857369479801
"121",247,0.985538866527478,0.873561561008093,0.981656900081283
