"","Name","f_h_ratio","pvalue","p_adj_BH"
"1","Cholesterol sulfate",0.992623360850562,0.936031663514306,0.999314877030777
"2","Perfluorooctanesulfonic acid",0.858832567326534,0.114253649968255,0.740386886625132
"3","Indoxyl sulfate",0.951243366047499,0.44961161604043,0.828250137378705
"4","equol sulfate",0.97728257927757,0.757709726709377,0.931666624277798
"5","Guaiacol sulfate",0.963368473057901,0.6814715693428,0.931666624277798
"6","Pyrocatechol sulfate",0.854756641383534,0.499560089255316,0.828250137378705
"7","PE(38:4)",0.939133125459851,0.612222460519855,0.922455335656264
"8","Phenol sulphate",1.02424872744083,0.666893521899868,0.931666624277798
"9","Cresol sulfate",0.947618739588655,0.499356629594826,0.828250137378705
"10","PE(36:2)",0.872028247053728,0.194833651809088,0.754172834386116
"11","PE(36:4)",0.943068512965193,0.629474221970101,0.922455335656264
"12","PE(36:1)",0.846835723634811,0.148146448448217,0.740386886625132
"13","Trihydroxycoprostanoic acid",1.1144451034568,0.399332403060163,0.828250137378705
"14","PS(22:6/22:4)",0.863724343203002,0.147121551557746,0.740386886625132
"15","PG(18:2/22:6)",1.00325949646737,0.972666737210853,0.999314877030777
"16","PG(18:1/22:6)",0.971569379716828,0.754875896305467,0.931666624277798
"17","PS(40:6)",0.986081590532139,0.890732028550152,0.989317719541001
"18","PG(20:4/18:1)",0.996127555450968,0.967688447968783,0.999314877030777
"19","3-[2-(2H-1-3-Benzodioxol-5-yl)ethyl]-5-oxo-2-5-dihydro-1-2-3-oxadiazol-3-ium",1.09047552112072,0.243839859535158,0.754172834386116
"20","PG(18:1/18:2)",0.881782772578208,0.194999852178096,0.754172834386116
"21","PE(38:6)",1.02551298965589,0.829196684063531,0.968652490019671
"22","Hydroxytyrosol 4'-sulfate",0.959648796936388,0.502751056152054,0.828250137378705
"23","4-(Decyloxy)benzene-1-sulfonic acid",0.977335507962769,0.758073736130307,0.931666624277798
"24","PG(18:2/18:2)",0.990380616043907,0.915390806846665,0.999314877030777
