"","peak_id","term","estimate","std.error","statistic","p.value","p_adj_BH"
"1",528,"Timepoint:SexM",-0.289745687008272,0.0240697011842202,-12.0377766550017,5.96512432576796e-27,2.2416937216236e-23
"2",1985,"Timepoint:SexM",-0.199098952618101,0.0212612431526923,-9.3644078659102,3.31901186288873e-18,6.23642329036793e-15
"3",536,"Timepoint:SexM",-0.210351516243283,0.0262383679547684,-8.0169436073883,3.4087319741092e-14,4.27000491956746e-11
"4",2891,"Timepoint:SexM",0.265582807316972,0.0345687314669084,7.68274669179592,2.96957844662806e-13,2.78991895060706e-10
"5",5468,"Timepoint:SexM",0.241598579408761,0.031903369331966,7.57282332454735,5.97893348237221e-13,4.49376640535095e-10
"6",766,"Timepoint:SexM",0.260887664929549,0.0351375457654444,7.42475489526408,1.51965803216605e-12,9.51812480813334e-10
"7",526,"Timepoint:SexM",-0.136558953548219,0.0190450042120987,-7.17032939596136,7.3466163788774e-12,3.94408347883161e-09
"8",1875,"Timepoint:SexM",0.190139096801253,0.0277746293838224,6.84578340087596,5.20704048180042e-11,2.44600726632575e-08
"9",2874,"Timepoint:SexM",0.204686115251509,0.0300169823434421,6.81901041582309,6.10371031838589e-11,2.5486381529438e-08
"10",2735,"Timepoint:SexM",0.211341685232611,0.0323270980840317,6.53760150952138,3.16131065416238e-10,1.18802054383422e-07
"11",3207,"Timepoint:SexM",0.202837664994157,0.0312286367320899,6.49524558930634,4.0327829886122e-10,1.37774531556406e-07
"12",6524,"Timepoint:SexM",0.449385181179266,0.069815736739364,6.43673191986658,5.63512221778021e-10,1.7647324412015e-07
"13",1994,"Timepoint:SexM",-0.222731941089675,0.0350270046361427,-6.3588634941353,8.76709845690125e-10,2.53436584623345e-07
"14",2658,"Timepoint:SexM",-0.321738267313344,0.0511763077457902,-6.28685971077721,1.31494805480023e-09,3.52969627852805e-07
"15",1326,"Timepoint:SexM",-0.218785934783116,0.0348801771047007,-6.2725006850275,1.42511552644536e-09,3.57038943225445e-07
