"","Name","term","estimate","std.error","statistic","p.value","p_adj_BH"
"51","C14:2","Timepoint",0.0373384448441152,0.00771602633184331,4.83907690802232,2.20450242051209e-06,1.09377235479254e-05
"52","PE(P-38:6)","Timepoint",-0.0714493917548327,0.0154929995571664,-4.61172102220731,6.19068526695405e-06,3.01357886580027e-05
"53","PG(16:0/18:2)","Timepoint",-0.127312476550452,0.0280765416781535,-4.53447856968489,8.71514510912448e-06,4.16390266324836e-05
"54","PE(36:2)","Timepoint",0.0569774228633465,0.0126282781422945,4.51189166261064,9.6236484527e-06,4.51436600144836e-05
"55","C17:1","Timepoint",-0.0283038478646689,0.00631437288375596,-4.4824479620901,1.09452732968302e-05,5.04264376889678e-05
"56","PE(36:4)","Timepoint",0.0930122181817753,0.0214490874436488,4.33641843393746,2.05196666319941e-05,9.28784910711313e-05
"57","7-Methylguanine","Timepoint",0.0869677772123861,0.0202753884723985,4.28932729603568,2.50424276707863e-05,0.000111395626535567
"58","1-Methylguanine","Timepoint",0.0915470825778079,0.021593631823496,4.23954077415526,3.08550928485979e-05,0.000134925660253191
"59","sphingosine(d18:1)","Timepoint",0.0382153954725402,0.00909028508103998,4.20398206787242,3.57735409803837e-05,0.00015382622621565
"60","PE(22:6/16:0)","Timepoint",0.0783569224273113,0.0187243288149249,4.18476535003242,3.87345721459853e-05,0.000163828190387938
"61","PE(38:6)","Timepoint",0.0839863646905557,0.0201665716459851,4.16463274794039,4.20870035039262e-05,0.000175136240387306
"62","equol sulfate","Timepoint",-0.0909400447125468,0.0220787967053558,-4.11888591240512,5.07635908143578e-05,0.000202774519214651
"63","C20:3","Timepoint",-0.0325165687028978,0.00789049207231262,-4.12098110040526,5.03314606078907e-05,0.000202774519214651
"64","DAG(15:1/22:4)","Timepoint",-0.0841692996798761,0.0204426854838789,-4.11733085392582,5.10866036781098e-05,0.000202774519214651
"65","4-Pyridoxic acid","Timepoint",0.0671807265032884,0.0163788691041901,4.10167063891498,5.44505750378729e-05,0.000212852247875321
"66","13-epi-12-oxo Phytodienoic Acid","Timepoint",0.0404673686242382,0.00993496184226072,4.07322838947409,6.11068964485168e-05,0.000235307153488319
"67","Trihydroxycoprostanoic acid","Timepoint",-0.08916438485978,0.0220072081045933,-4.05159911407252,6.66800494673281e-05,0.000252991952390745
"68","Dihydroactinidiolide","Timepoint",0.0522860227360235,0.0130850419781508,3.99586205556924,8.33567590834175e-05,0.000311681794833648
"69","5,6-Dihydrouridine","Timepoint",0.0587896641527415,0.014738744658213,3.988783679754,8.57386135009038e-05,0.000316008032617617
"70","C18:4","Timepoint",-0.032547303964508,0.00818418095223285,-3.9768553694586,8.98994124611595e-05,0.000326676738239143
"71","PC (C16:1/C18:1)","Timepoint",0.111563020527427,0.0280879957867658,3.97191103894967,9.16797078844731e-05,0.000328518953252695
"72","PS(22:6/22:4)","Timepoint",-0.115132850545461,0.0294021431993053,-3.9157978983036,0.000114376721127342,0.00040423553494321
"73","C16:2","Timepoint",0.0235152095186574,0.00609631713980817,3.85728120427103,0.000143669010494497,0.000500900063615948
"74","PE(P-20:4/16:0)","Timepoint",-0.0550587678734374,0.0143773261472561,-3.82955546180925,0.000159907802549259,0.000550082840769451
"75","C22:2","Timepoint",0.0328777004256246,0.00873883778282582,3.76225091284314,0.000206850918830102,0.000702204434975873
"76","2-octenoylglycine","Timepoint",0.0732980405110886,0.0196194381572807,3.73599080276863,0.000228479384696473,0.000765554301970001
"77","Aminoadipic acid","Timepoint",0.0283681193844392,0.00762430609208295,3.72074770370206,0.000241995351887725,0.000800446163936321
