"","peak_id","term","estimate","std.error","statistic","p.value","p_adj_BH"
"1",2935,"Timepoint",0.113198749113371,0.00929738822212293,12.1753277811953,1.93634661806951e-27,1.8191976476763e-24
"2",3877,"Timepoint",0.166822565481381,0.013694748310819,12.1814991918902,1.84430177209512e-27,1.8191976476763e-24
"3",399,"Timepoint",-0.373924557685867,0.0325988392634519,-11.4704868680736,4.80598044277516e-25,3.01014575065817e-22
"4",3887,"Timepoint",0.139781717724638,0.0125260212948375,11.1593070484598,5.3021392812083e-24,2.4906799273476e-21
"5",3878,"Timepoint",0.159800917981891,0.0147757456000004,10.8150831983658,7.34511097054742e-23,2.66074056971922e-20
"6",3883,"Timepoint",0.160938482493159,0.0149073706425593,10.795899984783,8.49624450149832e-23,2.66074056971922e-20
"7",2706,"Timepoint",0.160065513333791,0.0157822091778136,10.142148765764,1.14096782367239e-20,3.06268362954346e-18
"8",955,"Timepoint",0.374565818395272,0.0372490418647592,10.0557168626032,2.16014613201108e-20,5.07364322756102e-18
"9",5193,"Timepoint",0.100638240069732,0.010267160965952,9.801954055602,1.38782407184084e-19,2.89746825665438e-17
"10",3892,"Timepoint",0.145054795422779,0.0150135954188167,9.66156282864663,3.84821135968197e-19,7.23078914484242e-17
"11",827,"Timepoint",0.0884703230333598,0.00942518881667507,9.38658362757018,2.78039322229315e-18,4.74941714971712e-16
"12",1352,"Timepoint",0.209583942802316,0.0226724996642591,9.24397159139469,7.67029897521279e-18,1.20104098120207e-15
"13",3766,"Timepoint",0.284991685681522,0.0308942404098253,9.22475134202964,8.78928628408518e-18,1.27038991752277e-15
"14",5196,"Timepoint",0.0632201302894708,0.00689150814435058,9.17362774087359,1.26172473271301e-17,1.69341483769125e-15
"15",3743,"Timepoint",0.249993990608258,0.0274607451698146,9.10368560875966,2.06567933764279e-17,2.5876076502872e-15
"16",5095,"Timepoint",0.0678018965341568,0.00755022010935318,8.98012184441671,4.91210763640541e-17,5.7686564055036e-15
"17",2504,"Timepoint",0.41779336667115,0.0467305712141503,8.94047206820018,6.47779955734977e-17,7.15987374603543e-15
"18",3889,"Timepoint",0.148030194689802,0.0166084809217607,8.91292800269595,7.8476313031712e-17,8.19205512147704e-15
"19",4294,"Timepoint",0.0813434619170498,0.00920309358165102,8.83870854896348,1.31389135668389e-16,1.29936939958369e-14
"20",5601,"Timepoint",0.128102028008673,0.0147153599855576,8.70532750366958,3.29844595916235e-16,3.09888997863303e-14
"21",3522,"Timepoint",-0.134487379713785,0.0156070543255923,-8.61708922825069,6.03917034058319e-16,5.36181883223789e-14
"22",4928,"Timepoint",0.103344350081921,0.0120008507309104,8.61141867348944,6.27780810586661e-16,5.36181883223789e-14
"23",3893,"Timepoint",0.147094694977262,0.0170952807038299,8.60440360855313,6.58599092816068e-16,5.38046824087562e-14
"24",3813,"Timepoint",0.317669888330054,0.0370153514103924,8.58211191373061,7.66827325251816e-16,6.00361893395068e-14
"25",1351,"Timepoint",0.312988869095934,0.0365681694278569,8.55905214816429,8.97330909058173e-16,6.74433911248123e-14
"26",831,"Timepoint",0.0921511548170627,0.0108680653309613,8.47907626710149,1.54488348825024e-15,1.11647541323931e-13
"27",526,"Timepoint",0.0795585104029481,0.0094759989461588,8.39579139413032,2.71206758871352e-15,1.88739814784915e-13
"28",491,"Timepoint",-0.0613319403748318,0.00732421247644447,-8.37386143180343,3.14363545826734e-15,2.10960393788726e-13
"29",492,"Timepoint",-0.0634424665480942,0.0076368630696461,-8.30739872766033,4.91157159534088e-15,3.18235966470535e-13
"30",68,"Timepoint",-0.108578387465612,0.0132167589274837,-8.21520526033254,9.09049565213089e-15,5.69368044345131e-13
"31",3772,"Timepoint",0.31080717760915,0.0380061598805084,8.17781061244625,1.16560101273486e-14,7.06504613847999e-13
"32",3612,"Timepoint",0.0916958627677193,0.0112291193544961,8.16589973558388,1.26147506916721e-14,7.40722392176623e-13
"33",3667,"Timepoint",0.143913275039357,0.0176365963797774,8.15992337412515,1.31247952624721e-14,7.47317887823787e-13
"34",5190,"Timepoint",0.106461949981632,0.0131269239046812,8.11019784640231,1.82405063618734e-14,1.00805621923412e-12
"35",3868,"Timepoint",0.133576878194648,0.0165504759084659,8.07087838038067,2.36433845071078e-14,1.26931198539587e-12
"36",40,"Timepoint",-0.1191552396668,0.0148943244801605,-8.00004322623139,3.76606978149675e-14,1.96567919984233e-12
"37",4931,"Timepoint",0.100969268247205,0.0126339461913548,7.99190266587465,3.97243247934344e-14,2.01735152126657e-12
"38",1521,"Timepoint",-0.133956953427692,0.0167927675184833,-7.97706234426515,4.37780801706019e-14,2.05647531601403e-12
"39",1671,"Timepoint",-0.0696901091637711,0.00872785000749178,-7.98479684045335,4.1616783434372e-14,2.05647531601403e-12
"40",3610,"Timepoint",0.0901426391678701,0.0112994391865182,7.97762063053737,4.36184263644806e-14,2.05647531601403e-12
"41",5603,"Timepoint",0.095145949217177,0.0121111536231232,7.85605997396645,9.6296638307174e-14,4.41320447266293e-12
"42",3785,"Timepoint",0.091489569673289,0.0116964364143709,7.8220037652562,1.20062076924046e-13,5.37134863191151e-12
"43",6386,"Timepoint",0.110985604787184,0.0142501570809756,7.78837764078782,1.49192285021535e-13,6.51935589663869e-12
"44",5425,"Timepoint",0.0776192683137567,0.0100540343942383,7.72021113815149,2.31335029523649e-13,9.87905728352127e-12
"45",5187,"Timepoint",0.11646150005359,0.0151622570609835,7.68101342598103,2.97387346555153e-13,1.24175738706029e-11
"46",5175,"Timepoint",0.199883607362401,0.0262969534224325,7.60101765978301,4.9532154791979e-13,2.02328084465497e-11
"47",3195,"Timepoint",0.08214368247227,0.0108451296692424,7.57424622641773,5.87108874010823e-13,2.34718632822625e-11
"48",4155,"Timepoint",0.150855159885598,0.020014738510947,7.5372036363647,7.42354961809823e-13,2.90601036091804e-11
"49",3809,"Timepoint",0.363025480102167,0.0482751887322314,7.5199184018889,8.28042171814922e-13,3.17528824661273e-11
"50",951,"Timepoint",0.120214761950868,0.0160494070471171,7.49029304309794,9.98170742822828e-13,3.75112565152819e-11
"51",2764,"Timepoint",0.188360055854066,0.0252544340595733,7.45849443348199,1.21923879111119e-12,4.49205821274101e-11
"52",5570,"Timepoint",0.104574849830969,0.014089201773068,7.42234027983526,1.5296541385324e-12,5.52734639673533e-11
"53",3810,"Timepoint",0.0876184005097413,0.0118309412267721,7.40586896936571,1.69578643885478e-12,6.01204286529835e-11
"54",1142,"Timepoint",0.0605729410434285,0.00824604750821653,7.34569391979276,2.46847008922624e-12,8.5286688628611e-11
"55",2806,"Timepoint",0.0484457345393854,0.00659674492049222,7.34388476790923,2.4964171764628e-12,8.5286688628611e-11
"56",5604,"Timepoint",0.094863577121705,0.012961478442825,7.31888553764621,2.91608713424628e-12,9.78451379508707e-11
"57",518,"Timepoint",-0.0551362533256461,0.00759349936784831,-7.2609808277721,4.17396561306155e-12,1.3759441029724e-10
"58",1011,"Timepoint",0.11781262457396,0.0162550796153464,7.24774208197258,4.52946662740411e-12,1.46739099877454e-10
"59",974,"Timepoint",0.229973861346251,0.0317919225747316,7.23371984835656,4.93856799037289e-12,1.57280834812045e-10
"60",351,"Timepoint",-0.0598116034657536,0.00829261728635334,-7.21263280341925,5.62326194787621e-12,1.73214904919006e-10
"61",1413,"Timepoint",-0.0598116034657536,0.00829261728635334,-7.21263280341925,5.62326194787621e-12,1.73214904919006e-10
"62",2505,"Timepoint",0.206211824635867,0.0286382137668319,7.20058263112403,6.05568773432661e-12,1.83526407303221e-10
"63",517,"Timepoint",-0.0531455196105946,0.00742439523738907,-7.15822877302586,7.85196727322956e-12,2.34188039784101e-10
"64",1014,"Timepoint",0.175824368484912,0.0245886944678359,7.15061829390354,8.22630147005553e-12,2.41519069722412e-10
"65",528,"Timepoint",-0.0973084193714436,0.0136213125258593,-7.1438357490667,8.57469549880075e-12,2.47874659111486e-10
"66",4388,"Timepoint",0.246994198174524,0.0346096178761234,7.13657686307254,8.96366716003161e-12,2.55192887783324e-10
"67",5564,"Timepoint",0.102202252532727,0.0143581481488582,7.11806644374643,1.00359867197677e-11,2.81457000693187e-10
"68",3815,"Timepoint",0.121860016021757,0.0171825773611388,7.09206852153411,1.17583378317474e-11,3.24910540968432e-10
"69",3538,"Timepoint",-0.0744644184317384,0.0105061316185673,-7.0877104090471,1.2074266824047e-11,3.28805034237454e-10
